name,currency,product_price,price_on_request,price_negotiable,sku,feature,brix,packaging,place_of_origin,model_number,primary_ingredients,additives,flavor,certification,volume,bbd,unlimited_stock,stock_count,product_color,product_weight,product_size,product_dimension,product_description,countries,varients,categories,thumb,gallery,brands,product_expiry,minimal_order,product_condition,location,label_language
OREO VANILLA,,,Price on request,,,,,,,,,,,,,,,,,,,,"We export OREO VANILLA ROLL from Indonesia, along with food, beverages, and household products. Mixed container, labeling, and stickers are available.",,,"Confectionery>Cookies, Biscuits & Bars",https://www.artamaja.com/wp-content/uploads/2023/01/OREO-VANILLA-119.6.png,,OREO,,,,,
OISHI PANCHOS NACHOS BEEF BBQ,,,Price on request,,,,,,,,,,,,,,,,,,,,"We export Oishi Panchos Nachos Beef BBQ from Indonesia, along with other products. Mixed container, labeling, and stickers are available.",,,Food>Chips & Snacks>Snacks,https://www.artamaja.com/wp-content/uploads/2023/05/Oishi-Panchos-Nachos-Beef-BBQ.png,,OISHI,,,,,
OISHI PANCHOS NACHOS CHEESE,,,Price on request,,,,,,,,,,,,,,,,,,,,"We export Oishi Panchos Nachos Cheese from Indonesia, along with other products. Mixed container, labeling, and stickers are available.",,,Food>Chips & Snacks>Snacks,https://www.artamaja.com/wp-content/uploads/2023/05/Oishi-Panchos-Nachos-Cheese.png,,OISHI,,,,,
OISHI PANCHOS NACHOS HOT & SPICY CORN,,,Price on request,,,,,,,,,,,,,,,,,,,,"We export Oishi Panchos Nachos Hot & Spicy Corn from Indonesia, along with other products. Mixed container, labeling, and stickers are available.",,,Food>Chips & Snacks>Snacks,https://www.artamaja.com/wp-content/uploads/2023/05/Oishi-Panchos-Nachos-Hot-Spicy-Corn.png,,OISHI,,,,,
OISHI POPCORN BELGIAN CHEESE,,,Price on request,,,,,,,,,,,,,,,,,,,,"We export Oishi Popcorn Belgian Cheese from Indonesia, along with other products. Mixed container, labeling, and stickers are available.",,,Food>Chips & Snacks>Popcorn,https://www.artamaja.com/wp-content/uploads/2023/05/Oishi-Popcorn-Belgian-Cheese.png,,OISHI,,,,,
OISHI POPCORN CHOCOLATE,,,Price on request,,,,,,,,,,,,,,,,,,,,"We export Oishi Popcorn Chocolate from Indonesia, along with other products. Mixed container, labeling, and stickers are available.",,,Food>Chips & Snacks>Popcorn,https://www.artamaja.com/wp-content/uploads/2023/05/Oishi-Popcorn-Chocolate.png,,OISHI,,,,,
OISHI POPCORN CARAMEL,,,Price on request,,,,,,,,,,,,,,,,,,,,"We export Oishi Popcorn Caramel from Indonesia, along with other products. Mixed container, labeling, and stickers are available.",,,Food>Chips & Snacks>Popcorn,https://www.artamaja.com/wp-content/uploads/2023/05/Oishi-Popcorn-Caramel.png,,OISHI,,,,,
OISHI POPCORN POPPY POP ROASTED CORN,,,Price on request,,,,,,,,,,,,,,,,,,,,"We export Oishi Popcorn Poppy Pop Roasted Corn from Indonesia, along with other products. Mixed container, labeling, and stickers are available.",,,Food>Chips & Snacks>Popcorn,https://www.artamaja.com/wp-content/uploads/2023/05/Oishi-Popcorn-Poppy-Pop-Roasted-Corn.png,,OISHI,,,,,
OISHI SNACKS SPONGE CRUNCH CHOCOLATE,,,Price on request,,,,,,,,,,,,,,,,,,,,"We export Oishi Snacks Sponge Crunch Chocolate from Indonesia, along with other products. Mixed container, labeling, and stickers are available.",,,Food>Chips & Snacks>Snacks,https://www.artamaja.com/wp-content/uploads/2023/05/Oishi-Snack-Sponge-Crunch-Chocolate-.png,,OISHI,,,,,
OISHI SNACKS SPONGE CRUNCH MOCHACHINO,,,Price on request,,,,,,,,,,,,,,,,,,,,"We export Oishi Snacks Sponge Crunch Mochachino from Indonesia, along with other products. Mixed container, labeling, and stickers are available.",,,Food>Chips & Snacks>Snacks,https://www.artamaja.com/wp-content/uploads/2023/05/Oishi-Snack-Sponge-Crunch-Mochachino-.png,,OISHI,,,,,
OISHI SNACKS SPONGE CRUNCH STRAWBERRY,,,Price on request,,,,,,,,,,,,,,,,,,,,"We export Oishi Snacks Sponge Crunch Strawberry from Indonesia, along with other products. Mixed container, labeling, and stickers are available.",,,Food>Chips & Snacks>Snacks,https://www.artamaja.com/wp-content/uploads/2023/05/Oishi-Snack-Sponge-Crunch-Strawberry-.png,,OISHI,,,,,
OISHI SNACKS PILLOW CHEESE,,,Price on request,,,,,,,,,,,,,,,,,,,,"We export Oishi Snacks Pillow Cheese from Indonesia, along with other products. Mixed container, labeling, and stickers are available.",,,Food>Chips & Snacks>Snacks,https://www.artamaja.com/wp-content/uploads/2023/05/Oishi-Pillow-Cheese.png,,OISHI,,,,,
OISHI SNACKS PILLOW DURIAN,,,Price on request,,,,,,,,,,,,,,,,,,,,"We export Oishi Snacks Pillow Durian from Indonesia, along with other products. Mixed container, labeling, and stickers are available.",,,Food>Chips & Snacks>Snacks,https://www.artamaja.com/wp-content/uploads/2023/05/Oishi-Pillow-Durian.png,,OISHI,,,,,
OISHI SNACKS PILLOW UBE,,,Price on request,,,,,,,,,,,,,,,,,,,,"We export Oishi Snacks Pillow Ube from Indonesia, along with other products. Mixed container, labeling, and stickers are available",,,Food>Chips & Snacks>Snacks,https://www.artamaja.com/wp-content/uploads/2023/05/Oishi-Pillow-Ube.png,,OISHI,,,,,
OISHI SNACKS PILLOWS CHOCOLATE,,,Price on request,,,,,,,,,,,,,,,,,,,,"We export Oishi Snacks Pillows Chocolate from Indonesia, along with other products. Mixed container, labeling, and stickers are available.",,,Food>Chips & Snacks>Snacks,https://www.artamaja.com/wp-content/uploads/2023/05/Oishi-Pillows-Chocolate.png,,OISHI,,,,,
OISHI SNACKS PILLOWS COCOPANDAN,,,Price on request,,,,,,,,,,,,,,,,,,,,"We export Oishi Pillows Cocopandan from Indonesia, along with other products. Mixed container, labeling, and stickers are available.",,,Food>Chips & Snacks>Snacks,https://www.artamaja.com/wp-content/uploads/2023/05/Oishi-Pillows-Cocopandan.png,,OISHI,,,,,
OISHI POTATO CRISPS NORI SEAWEED,,,Price on request,,,,,,,,,,,,,,,,,,,,"We export Oishi Potato Crisps Nori Seaweed from Indonesia, along with other products. Mixed container, labeling, and stickers are available.",,,Food>Chips & Snacks>Chips,https://www.artamaja.com/wp-content/uploads/2023/05/Oishi-Potato-Crisps-Nori-Seaweed.png,,OISHI,,,,,
OISHI POTATO CRISPS CHICKEN TERIYAKI,,,Price on request,,,,,,,,,,,,,,,,,,,,"We export Oishi Potato Crisps Chicken Teriyaki from Indonesia, along with other products. Mixed container, labeling, and stickers are available.",,,Food>Chips & Snacks>Chips,https://www.artamaja.com/wp-content/uploads/2023/05/Oishi-Potato-Crisps-Chicken-Teriyaki.png,,OISHI,,,,,
OISHI POTATO CRISPS BEEF BBQ,,,Price on request,,,,,,,,,,,,,,,,,,,,"We export Oishi Potato Crisps Beef BBQ from Indonesia, along with other products. Mixed container, labeling, and stickers are available.",,,Food>Chips & Snacks>Chips,https://www.artamaja.com/wp-content/uploads/2023/05/Oishi-Potato-Crisps-Beef-BBQ.png,,OISHI,,,,,
OISHI SNACKS OPALA POTATO CHOCOLATE,,,Price on request,,,,,,,,,,,,,,,,,,,,"We export Oishi Snacks Opala Potato Chocolate from Indonesia, along with other products. Mixed container, labeling, and stickers are available.",,,Food>Chips & Snacks>Chips,https://www.artamaja.com/wp-content/uploads/2023/05/Oishi-Snacks-Opala-Potato-Chocolate.png,,OISHI,,,,,
OISHI SNACKS MAKADO STICKS TOMATO KETCHUP,,,Price on request,,,,,,,,,,,,,,,,,,,,"We export Oishi Snacks Makado Sticks Tomato Ketchup from Indonesia, along with other products. Mixed container, labeling, and stickers are available.",,,Food>Chips & Snacks>Snacks,https://www.artamaja.com/wp-content/uploads/2023/05/Oishi-Snacks-Makado-Sticks-Tomato-Ketchup.png,,OISHI,,,,,
