name,currency,product_price,price_on_request,price_negotiable,sku,feature,brix,packaging,place_of_origin,model_number,primary_ingredients,additives,flavor,certification,volume,bbd,unlimited_stock,stock_count,product_color,product_weight,product_size,product_dimension,product_description,countries,varients,categories,thumb,gallery,brands,product_expiry,minimal_order,product_condition,location,label_language
OREO VANILLA,,,Price on request,,,,,,,,,,,,,,Unlimited,,,,,,"We export OREO VANILLA ROLL from Indonesia, along with food, beverages, and household products. Mixed container, labeling, and stickers are available.",,,"Confectionery>Cookies, Biscuits & Bars",https://www.artamaja.com/wp-content/uploads/2023/01/OREO-VANILLA-119.6.png,,Oreo,,,,,
OISHI PANCHOS NACHOS BEEF BBQ,,,Price on request,,,,,,,,,,,,,,Unlimited,,,,,,"We export Oishi Panchos Nachos Beef BBQ from Indonesia, along with other products. Mixed container, labeling, and stickers are available.",,,Food>Chips & Snacks>Snacks,https://www.artamaja.com/wp-content/uploads/2023/05/Oishi-Panchos-Nachos-Beef-BBQ.png,,Oishi,,,,,
OISHI PANCHOS NACHOS CHEESE,,,Price on request,,,,,,,,,,,,,,Unlimited,,,,,,"We export Oishi Panchos Nachos Cheese from Indonesia, along with other products. Mixed container, labeling, and stickers are available.",,,Food>Chips & Snacks>Snacks,https://www.artamaja.com/wp-content/uploads/2023/05/Oishi-Panchos-Nachos-Cheese.png,,Oishi,,,,,
OISHI PANCHOS NACHOS HOT & SPICY CORN,,,Price on request,,,,,,,,,,,,,,Unlimited,,,,,,"We export Oishi Panchos Nachos Hot & Spicy Corn from Indonesia, along with other products. Mixed container, labeling, and stickers are available.",,,Food>Chips & Snacks>Snacks,https://www.artamaja.com/wp-content/uploads/2023/05/Oishi-Panchos-Nachos-Hot-Spicy-Corn.png,,Oishi,,,,,
OISHI POPCORN BELGIAN CHEESE,,,Price on request,,,,,,,,,,,,,,Unlimited,,,,,,"We export Oishi Popcorn Belgian Cheese from Indonesia, along with other products. Mixed container, labeling, and stickers are available.",,,Food>Chips & Snacks>Popcorn,https://www.artamaja.com/wp-content/uploads/2023/05/Oishi-Popcorn-Belgian-Cheese.png,,Oishi,,,,,
OISHI POPCORN CHOCOLATE,,,Price on request,,,,,,,,,,,,,,Unlimited,,,,,,"We export Oishi Popcorn Chocolate from Indonesia, along with other products. Mixed container, labeling, and stickers are available.",,,Food>Chips & Snacks>Popcorn,https://www.artamaja.com/wp-content/uploads/2023/05/Oishi-Popcorn-Chocolate.png,,Oishi,,,,,
OISHI POPCORN CARAMEL,,,Price on request,,,,,,,,,,,,,,Unlimited,,,,,,"We export Oishi Popcorn Caramel from Indonesia, along with other products. Mixed container, labeling, and stickers are available.",,,Food>Chips & Snacks>Popcorn,https://www.artamaja.com/wp-content/uploads/2023/05/Oishi-Popcorn-Caramel.png,,Oishi,,,,,
OISHI POPCORN POPPY POP ROASTED CORN,,,Price on request,,,,,,,,,,,,,,Unlimited,,,,,,"We export Oishi Popcorn Poppy Pop Roasted Corn from Indonesia, along with other products. Mixed container, labeling, and stickers are available.",,,Food>Chips & Snacks>Popcorn,https://www.artamaja.com/wp-content/uploads/2023/05/Oishi-Popcorn-Poppy-Pop-Roasted-Corn.png,,Oishi,,,,,
OISHI SNACKS SPONGE CRUNCH CHOCOLATE,,,Price on request,,,,,,,,,,,,,,Unlimited,,,,,,"We export Oishi Snacks Sponge Crunch Chocolate from Indonesia, along with other products. Mixed container, labeling, and stickers are available.",,,Food>Chips & Snacks>Snacks,https://www.artamaja.com/wp-content/uploads/2023/05/Oishi-Snack-Sponge-Crunch-Chocolate-.png,,Oishi,,,,,
OISHI SNACKS SPONGE CRUNCH MOCHACHINO,,,Price on request,,,,,,,,,,,,,,Unlimited,,,,,,"We export Oishi Snacks Sponge Crunch Mochachino from Indonesia, along with other products. Mixed container, labeling, and stickers are available.",,,Food>Chips & Snacks>Snacks,https://www.artamaja.com/wp-content/uploads/2023/05/Oishi-Snack-Sponge-Crunch-Mochachino-.png,,Oishi,,,,,
